,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
,Quarter,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,,
LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number
Alpine (S),Code 1,38.78%,1436,147,38.75%,1208,160,41.91%,1276,136,44.20%,1304,138,42.26%,1360,168
Ararat (RC),Code 1,58.39%,1070,137,62.16%,964,185,63.89%,932,216,54.25%,1082,153,59.76%,1018,164
Ballarat (C),Code 1,82.79%,711,1424,83.50%,698,1485,84.37%,700,1516,85.66%,705,1430,82.25%,722,1425
Banyule (C),Code 1,85.59%,675,1409,84.78%,671,1465,82.01%,717,1651,86.20%,680,1631,84.99%,688,1539
Bass Coast (S),Code 1,60.70%,926,687,64.30%,902,675,66.00%,855,603,63.97%,880,655,62.31%,881,743
Baw Baw (S),Code 1,42.92%,1211,643,50.97%,1103,673,45.13%,1131,729,49.25%,1119,664,50.22%,1067,667
Bayside (C),Code 1,81.04%,755,1034,83.99%,739,1012,82.18%,732,1055,82.60%,738,1006,80.02%,761,991
Benalla (RC),Code 1,56.04%,1044,207,63.72%,975,215,65.59%,872,186,56.22%,1005,217,58.49%,1042,212
Boroondara (C),Code 1,86.24%,681,1533,88.89%,674,1485,83.60%,710,1622,87.81%,678,1559,87.35%,680,1463
Brimbank (C),Code 1,79.59%,741,2523,78.15%,748,2563,75.64%,785,2873,78.34%,766,2784,81.93%,728,2629
Buloke (S),Code 1,22.22%,1814,81,30.93%,1467,97,30.34%,1517,89,30.51%,1407,59,33.33%,1482,90
Campaspe (S),Code 1,58.38%,984,567,62.63%,940,586,61.28%,951,594,58.55%,996,567,57.82%,939,569
Cardinia (S),Code 1,62.05%,889,1075,63.89%,877,1177,63.10%,888,1225,61.59%,905,1135,62.84%,873,1203
Casey (C),Code 1,80.36%,722,3131,82.25%,702,3211,79.01%,736,3612,80.69%,733,3469,80.51%,725,3273
Central Goldfields (S),Code 1,56.52%,1055,253,58.22%,952,225,59.36%,941,219,58.82%,999,238,61.41%,936,241
Colac-Otway (S),Code 1,53.42%,1121,219,60.64%,1038,249,58.99%,974,217,64.98%,943,237,55.56%,1113,207
Corangamite (S),Code 1,41.04%,1208,173,35.26%,1270,190,40.80%,1222,174,36.73%,1338,196,32.42%,1316,182
Darebin (C),Code 1,87.54%,657,2111,88.39%,657,2187,83.72%,724,2433,86.34%,684,2364,86.42%,685,2179
East Gippsland (S),Code 1,52.60%,1128,846,56.32%,1054,854,54.72%,1090,901,56.14%,1098,887,57.47%,1042,830
Frankston (C),Code 1,84.69%,680,2267,86.77%,669,2267,82.52%,692,2586,84.81%,676,2409,83.80%,685,2371
Gannawarra (S),Code 1,53.15%,1087,111,49.52%,1072,105,63.89%,988,108,47.41%,1178,135,43.59%,1239,117
Glen Eira (C),Code 1,84.03%,682,1641,85.31%,686,1681,85.00%,702,1740,84.98%,675,1645,84.83%,695,1589
Glenelg (S),Code 1,66.53%,893,242,68.97%,913,232,75.23%,808,222,73.08%,832,260,71.72%,828,244
Golden Plains (S),Code 1,27.45%,1279,153,23.86%,1201,176,24.06%,1273,187,24.22%,1267,161,23.53%,1251,153
Greater Bendigo (C),Code 1,69.48%,844,1553,71.74%,807,1670,72.07%,824,1851,73.61%,815,1728,74.01%,822,1639
Greater Dandenong (C),Code 1,86.03%,658,2390,84.35%,681,2448,83.85%,680,2662,84.24%,676,2469,84.31%,682,2543
Greater Geelong (C),Code 1,71.28%,815,3437,75.65%,770,3478,74.71%,790,3815,72.62%,798,3583,72.29%,808,3782
Greater Shepparton (C),Code 1,71.44%,818,1033,80.26%,726,1008,77.63%,745,1167,76.73%,745,1139,77.82%,733,1109
Hepburn (S),Code 1,21.47%,1452,177,34.71%,1280,170,28.11%,1296,185,29.76%,1301,168,30.81%,1204,172
Hindmarsh (S),Code 1,54.05%,1102,74,63.41%,959,82,49.57%,1283,115,56.98%,1116,86,56.70%,1074,97
Hobsons Bay (C),Code 1,84.99%,677,1146,85.58%,672,1151,81.97%,732,1259,83.69%,712,1153,82.83%,712,1136
Horsham (RC),Code 1,85.14%,642,323,78.77%,716,292,80.69%,699,378,84.06%,648,345,86.98%,608,315
Hume (C),Code 1,69.03%,839,2887,69.50%,827,2944,65.08%,890,3451,67.57%,865,3336,69.10%,849,3155
