lga_name,dispatch_code,percent_less_15_mins_q3_2014,average_response_time_seconds_q3_2014,total_number_q3_2014,percent_less_15_mins_q4_2014,average_response_time_seconds_q4_2014,total_number_q4_2014,percent_less_15_mins_q1_2015,average_response_time_seconds_q1_2015,total_number_q1_2015,percent_less_15_mins_q2_2015,average_response_time_seconds_q2_2015,total_number_q2_2015,percent_less_15_mins_q3_2016,average_response_time_seconds_q3_2016,total_number_q3_2016,average_percent_under_15_minutes_2014-2016,average_response_time_seconds_2014-2016
Alpine (S),Code 1,0.3878,1436,147,0.3875,1208,160,0.4191,1276,136,0.4420,1304,138,0.4226,1360,168,0.4118,1316.8
Ararat (RC),Code 1,0.5839,1070,137,0.6216,964,185,0.6389,932,216,0.5425,1082,153,0.5976,1018,164,0.5969,1013.2
Ballarat (C),Code 1,0.8279,711,1424,0.8350,698,1485,0.8437,700,1516,0.8566,705,1430,0.8225,722,1425,0.8371,707.2
Banyule (C),Code 1,0.8559,675,1409,0.8478,671,1465,0.8201,717,1651,0.8620,680,1631,0.8499,688,1539,0.8471,686.2
Bass Coast (S),Code 1,0.6070,926,687,0.6430,902,675,0.6600,855,603,0.6397,880,655,0.6231,881,743,0.6346,888.8
Baw Baw (S),Code 1,0.4292,1211,643,0.5097,1103,673,0.4513,1131,729,0.4925,1119,664,0.5022,1067,667,0.4770,1126.2
Bayside (C),Code 1,0.8104,755,1034,0.8399,739,1012,0.8218,732,1055,0.8260,738,1006,0.8002,761,991,0.8197,745
Benalla (RC),Code 1,0.5604,1044,207,0.6372,975,215,0.6559,872,186,0.5622,1005,217,0.5849,1042,212,0.6001,987.6
Boroondara (C),Code 1,0.8624,681,1533,0.8889,674,1485,0.8360,710,1622,0.8781,678,1559,0.8735,680,1463,0.8678,684.6
Brimbank (C),Code 1,0.7959,741,2523,0.7815,748,2563,0.7564,785,2873,0.7834,766,2784,0.8193,728,2629,0.7873,753.6
Buloke (S),Code 1,0.2222,1814,81,0.3093,1467,97,0.3034,1517,89,0.3051,1407,59,0.3333,1482,90,0.2947,1537.4
Campaspe (S),Code 1,0.5838,984,567,0.6263,940,586,0.6128,951,594,0.5855,996,567,0.5782,939,569,0.5973,962
Cardinia (S),Code 1,0.6205,889,1075,0.6389,877,1177,0.6310,888,1225,0.6159,905,1135,0.6284,873,1203,0.6269,886.4
Casey (C),Code 1,0.8036,722,3131,0.8225,702,3211,0.7901,736,3612,0.8069,733,3469,0.8051,725,3273,0.8056,723.6
Central Goldfields (S),Code 1,0.5652,1055,253,0.5822,952,225,0.5936,941,219,0.5882,999,238,0.6141,936,241,0.5887,976.6
Colac-Otway (S),Code 1,0.5342,1121,219,0.6064,1038,249,0.5899,974,217,0.6498,943,237,0.5556,1113,207,0.5872,1037.8
Corangamite (S),Code 1,0.4104,1208,173,0.3526,1270,190,0.4080,1222,174,0.3673,1338,196,0.3242,1316,182,0.3725,1270.8
Darebin (C),Code 1,0.8754,657,2111,0.8839,657,2187,0.8372,724,2433,0.8634,684,2364,0.8642,685,2179,0.8648,681.4
East Gippsland (S),Code 1,0.5260,1128,846,0.5632,1054,854,0.5472,1090,901,0.5614,1098,887,0.5747,1042,830,0.5545,1082.4
Frankston (C),Code 1,0.8469,680,2267,0.8677,669,2267,0.8252,692,2586,0.8481,676,2409,0.8380,685,2371,0.8452,680.4
Gannawarra (S),Code 1,0.5315,1087,111,0.4952,1072,105,0.6389,988,108,0.4741,1178,135,0.4359,1239,117,0.5151,1112.8
